PERMNO,date,RET
93436,20130906,-0.017419
93436,20130909,-0.037552
93436,20130910,0.035283
93436,20130911,-0.017130
93436,20130912,0.008623
93436,20130913,0.003699
93436,20130916,0.006283
93436,20130917,-0.002101
93436,20130918,-0.000072
93436,20130919,0.070401
93436,20130920,0.030744
93436,20130923,-0.012433
93436,20130924,0.006736
93436,20130925,0.015949
93436,20130926,0.018366
93436,20130927,0.011980
93436,20130930,0.012939
93436,20131001,-0.001913
93436,20131002,-0.062435
93436,20131003,-0.042222
93436,20131004,0.044256
93436,20131007,0.011548
93436,20131008,-0.045556
93436,20131009,-0.034053
93436,20131010,0.024588
93436,20131011,0.033366
93436,20131014,0.005708
93436,20131015,0.023481
93436,20131016,-0.002066
93436,20131017,-0.004129
93436,20131018,0.003271
93436,20131021,-0.058888
93436,20131022,-0.006141
93436,20131023,-0.041040
93436,20131024,0.052584
93436,20131025,-0.020156
93436,20131028,-0.040080
93436,20131029,0.009886
93436,20131030,-0.031921
93436,20131031,0.004522
93436,20131101,0.013943
93436,20131104,0.080348
93436,20131105,0.009190
93436,20131106,-0.145071
93436,20131107,-0.075337
93436,20131108,-0.013036
93436,20131111,0.048916
93436,20131112,-0.047672
93436,20131113,0.006531
93436,20131114,-0.007931
93436,20131115,-0.015625
93436,20131118,-0.102399
93436,20131119,0.037095
93436,20131120,-0.039496
93436,20131121,0.008174
93436,20131122,-0.005897
93436,20131125,-0.004449
93436,20131126,-0.002814
93436,20131127,0.053444
93436,20131129,0.002678
93436,20131202,-0.024434
93436,20131203,0.165338
93436,20131204,-0.039737
93436,20131205,0.011011
93436,20131206,-0.022210
93436,20131209,0.030868
93436,20131210,0.004167
93436,20131211,-0.017863
93436,20131212,0.055997
93436,20131213,0.001248
93436,20131216,0.001937
93436,20131217,0.030553
93436,20131218,-0.029385
93436,20131219,-0.049061
93436,20131220,0.017908
93436,20131223,0.002164
93436,20131224,0.054754
93436,20131226,0.027013
93436,20131227,-0.028167
93436,20131230,0.008735
93436,20131231,-0.013192
93436,20140102,-0.002187
93436,20140103,-0.003598
93436,20140106,-0.017117
93436,20140107,0.016054
93436,20140108,0.012855
93436,20140109,-0.024788
93436,20140110,-0.012269
93436,20140113,-0.043782
93436,20140114,0.157385
93436,20140115,0.017734
93436,20140116,0.041674
93436,20140117,-0.005615
93436,20140121,0.039233
93436,20140122,0.010641
93436,20140123,0.016465
93436,20140124,-0.038016
93436,20140127,-0.028522
93436,20140128,0.051645
93436,20140129,-0.017659
93436,20140130,0.043429
93436,20140131,-0.007821
93436,20140203,-0.023703
93436,20140204,0.009147
93436,20140205,-0.024115
93436,20140206,0.022704
93436,20140207,0.045689
93436,20140210,0.053772
93436,20140211,0.000305
93436,20140212,-0.006612
93436,20140213,0.022066
93436,20140214,-0.007013
93436,20140218,0.027594
93436,20140219,-0.049386
93436,20140220,0.084332
93436,20140221,-0.001762
93436,20140224,0.038406
93436,20140225,0.139444
93436,20140226,0.020161
93436,20140227,-0.001818
93436,20140228,-0.030609
93436,20140303,0.023488
93436,20140304,0.017082
93436,20140305,-0.008554
93436,20140306,0.001108
93436,20140307,-0.026607
93436,20140310,-0.029934
93436,20140311,-0.018548
93436,20140312,0.030203
93436,20140313,-0.015322
93436,20140314,-0.028681
93436,20140317,0.013032
93436,20140318,0.025900
93436,20140319,-0.017497
93436,20140320,-0.003943
93436,20140321,-0.025627
93436,20140324,-0.038097
93436,20140325,0.001226
93436,20140326,-0.033932
93436,20140327,-0.026484
93436,20140328,0.024358
93436,20140331,-0.018458
93436,20140401,0.040873
93436,20140402,0.061391
93436,20140403,-0.021234
93436,20140404,-0.058452
93436,20140407,-0.022170
93436,20140408,0.038261
93436,20140409,0.006823
93436,20140410,-0.058729
93436,20140411,-0.002008
93436,20140414,-0.027922
93436,20140415,-0.021101
93436,20140416,0.026817
93436,20140417,-0.004972
93436,20140421,0.031597
93436,20140422,0.069772
93436,20140423,-0.048710
93436,20140424,-0.000625
93436,20140425,-0.038536
93436,20140428,-0.006705
93436,20140429,0.042366
93436,20140430,0.004688
93436,20140501,-0.000770
93436,20140502,0.015308
93436,20140505,0.027026
93436,20140506,-0.043073
93436,20140507,-0.028609
93436,20140508,-0.113037
93436,20140509,0.020550
93436,20140512,0.013223
93436,20140513,0.029729
93436,20140514,0.002419
93436,20140515,-0.010649
93436,20140516,0.015748
93436,20140519,0.023648
93436,20140520,-0.004029
93436,20140521,0.021249
93436,20140522,0.027225
93436,20140523,0.011812
93436,20140527,0.020550
93436,20140528,-0.006239
93436,20140529,0.000000
93436,20140530,-0.011748
93436,20140602,-0.014776
93436,20140603,0.001172
93436,20140604,-0.004635
93436,20140605,0.014265
93436,20140606,0.006143
93436,20140609,-0.013744
93436,20140610,-0.014661
93436,20140611,0.010727
93436,20140612,-0.004646
93436,20140613,0.014249
93436,20140616,0.088121
93436,20140617,0.031432
93436,20140618,-0.019640
93436,20140619,0.002950
93436,20140620,0.007902
93436,20140623,0.033233
93436,20140624,-0.019897
93436,20140625,0.018886
93436,20140626,-0.005450
93436,20140627,0.014686
93436,20140630,0.004183
93436,20140701,-0.001416
93436,20140702,-0.042946
93436,20140703,-0.000763
93436,20140707,-0.028746
93436,20140708,-0.016123
93436,20140709,0.018213
93436,20140710,-0.016139
93436,20140711,-0.006060
93436,20140714,0.039288
93436,20140715,-0.031407
93436,20140716,-0.011021
93436,20140717,-0.008105
93436,20140718,0.021449
93436,20140721,0.002363
93436,20140722,-0.004353
93436,20140723,0.013253
93436,20140724,0.004719
93436,20140725,0.000134
93436,20140728,0.005591
93436,20140729,0.000845
93436,20140730,0.017377
93436,20140731,-0.024550
93436,20140801,0.044648
93436,20140804,0.022506
93436,20140805,-0.000126
93436,20140806,0.043776
93436,20140807,0.013899
93436,20140808,-0.016879
93436,20140811,0.045097
93436,20140812,0.002468
93436,20140813,0.001346
93436,20140814,0.004111
93436,20140815,0.002410
93436,20140818,-0.007900
93436,20140819,-0.012234
93436,20140820,-0.004089
93436,20140821,-0.005358
93436,20140822,0.009593
93436,20140825,0.022471
93436,20140826,-0.003085
93436,20140827,0.005769
93436,20140828,0.002317
93436,20140829,0.022133
93436,20140902,0.053467
93436,20140903,-0.010313
93436,20140904,0.017248
93436,20140905,-0.030241
93436,20140908,0.017016
93436,20140909,-0.012867
93436,20140910,0.009408
93436,20140911,-0.002810
93436,20140912,-0.003960
93436,20140915,-0.090759
93436,20140916,0.027102
93436,20140917,0.002455
93436,20140918,0.009335
93436,20140919,-0.017057
93436,20140922,-0.035824
93436,20140923,0.001520
93436,20140924,0.006909
93436,20140925,-0.020584
93436,20140926,-0.001417
93436,20140929,-0.005434
93436,20140930,-0.010519
93436,20141001,-0.010054
93436,20141002,0.046537
93436,20141003,0.015074
93436,20141006,0.021198
93436,20141007,-0.004029
93436,20141008,-0.001117
93436,20141009,-0.008755
93436,20141010,-0.078207
93436,20141013,-0.052003
93436,20141014,0.010998
93436,20141015,0.011627
93436,20141016,-0.014584
93436,20141017,0.004992
93436,20141020,0.013144
93436,20141021,0.021131
93436,20141022,-0.018016
93436,20141023,0.018131
93436,20141024,-0.000212
93436,20141027,-0.057686
93436,20141028,0.095187
93436,20141029,-0.019236
93436,20141030,0.002352
93436,20141031,0.012738
93436,20141103,0.003682
93436,20141104,-0.015087
93436,20141105,-0.033315
93436,20141106,0.044378
93436,20141107,-0.004229
93436,20141110,0.007202
93436,20141111,0.037821
93436,20141112,-0.007886
93436,20141113,0.010438
93436,20141114,0.027731
93436,20141117,-0.018169
93436,20141118,0.014647
93436,20141119,-0.038650
93436,20141120,0.003915
93436,20141121,-0.023843
93436,20141124,0.016229
93436,20141125,0.005553
93436,20141126,0.001411
93436,20141128,-0.015778
93436,20141201,-0.052675
93436,20141202,-0.000907
93436,20141203,-0.009204
93436,20141204,-0.004448
